post_id	thread_id	comment_text	label	prev_post_id	prev_post_label	prev_post_text	prev_sim	distance_score	thread_sim	RuncountNeg	RuncountPos	DistanceLbl0	DistanceLbl1	RelRuncount
post_2688331	post_2559436	"Some facts I dug up which may raise more questions1.Mercury in routine children's vaccines has not been present in Canada since at least 1990.    The rates of autism in those children born after 1990 in Canada have increased2. There have been studies in Britain and Denmark    showing that over the past ten to fifteen years in those nations where mercury was taken out of vaccines	 autism rates have increasedOTOH3.    mercury is a known and proven neurotoxin; thimerosal contains mercury; thimerosal is present in vaccines.4.Thimerisiol was never tested for toxicity	 despite the many years (about 50) of public concern.so...letsee....    On our city's ""toxic waste day"" the workers will dispose paint but refuse mercury barometers as too toxic	 but mercury injected into my child is a ""well-baby"" visit?"	0	post_2652793	1.0	"Not to get off topic or anything but I was reading one person's blog on talentdatabase who thinks there is a link between baby shampoos and autism. I'm not sure if the blogger is autistic or not	 but she seems to be interested in it. She suggested googling up autism and phthalates.I'm not saying if it is true or not	 but it was interesting to read nonetheless. I've also read connections between anorexia and autism. Even chimeras and autism!Personally I think there are a number of factors that cause autism whether it is biological or environmental.(I_  m straining for a good visual example)    Say you want to cook a casserole dish. There are several different recipes for the same thing. It_  s still potatoes and green beans	 but the method of cooking and preparation may have been different.Or you cut your finger. Several things may have caused the cut.That_  s my take on the whole causes of autism debate_  À_    I think rather than try to figure out a single _  cause_   just focus on what you have at hand	 your son	 or daughter.    No matter what caused the autism	 you have an autistic child. Autism doesn_  t have to be a death sentence. (some parents seem to think) There are pros and cons.    If you think of it there_  s _  type A_   personality	 whether that_  s a real dx or not is a debate. It is not quite viewed as a disability	 but it too has its up-sides and downsides.Long term wise if there are environmental triggers that are causing damage to people	 I hope that with research	 that those chemicals can be pulled off the market	 and taken o"	0.46817588806152344	12	0.6043606400489807	8	3	1	8	25.0
post_2709390	post_2559436	Thimerosal(mercury-based preservative) in not used in vaccines since 1999.The only vaccines that are still using thimerosal are some flu vaccines.And valid scientific studies have shown no link between thimerosal and autism....	0	post_2688331	0.0	"Some facts I dug up which may raise more questions1.Mercury in routine children's vaccines has not been present in Canada since at least 1990.    The rates of autism in those children born after 1990 in Canada have increased2. There have been studies in Britain and Denmark    showing that over the past ten to fifteen years in those nations where mercury was taken out of vaccines	 autism rates have increasedOTOH3.    mercury is a known and proven neurotoxin; thimerosal contains mercury; thimerosal is present in vaccines.4.Thimerisiol was never tested for toxicity	 despite the many years (about 50) of public concern.so...letsee....    On our city's ""toxic waste day"" the workers will dispose paint but refuse mercury barometers as too toxic	 but mercury injected into my child is a ""well-baby"" visit?"	0.54146808385849	13	0.5896374583244324	9	3	0	9	23.076923076923077
post_2709755	post_2559436	"Thanks. I've been reading it too	 but sadly a lot of people still believe there is a connection (and swear by it!). In fact if you browse the autism speaks forum	 you'll find lots of claims based on this misinformation.People believe what they want to believe. People want to believe something caused their child's autism so they have something to feel guilty about	 I guess...Makes no sense to me	 but tis life..."	0	post_2709390	0.0	Thimerosal(mercury-based preservative) in not used in vaccines since 1999.The only vaccines that are still using thimerosal are some flu vaccines.And valid scientific studies have shown no link between thimerosal and autism....	0.4420604705810547	14	0.520914614200592	10	3	0	10	21.428571428571427
post_2719158	post_2559436	"Thank you for mentioning that thimerisol has been out of the vaccines (except flu shot) since 1999.        The media fails to mention important facts like this when discussing the topic of autism.    For people who believe the ""mercury therory"" how do they    account for the increase in autism diagnosis despite the absence of mercury in shots since 1999?"	0	post_2709755	0.0	"Thanks. I've been reading it too	 but sadly a lot of people still believe there is a connection (and swear by it!). In fact if you browse the autism speaks forum	 you'll find lots of claims based on this misinformation.People believe what they want to believe. People want to believe something caused their child's autism so they have something to feel guilty about	 I guess...Makes no sense to me	 but tis life..."	0.437780499458313	15	0.6619693636894226	11	3	0	11	20.0
post_2161040	post_2160045	"I'm no expert	 but I had this delima when I needed to get my kids vaccinated.    What I decided in the end was that the potential side effects of the vaccines were less sever then the potential risks of not getting vaccinated.    Another point	 with the autism link	 is that autism doesn't show up in children until they reach 18-24months	 which is the age they are when they get the vaccine in question.    Therefore	 it is believed that the link is just a conicidence and there is no real proof that it is caused from the vaccine. They have also found that just as many kids get autism that have not been vaccinated as those that have.    I hope this helps."	0					1	0.701758086681366	0	0	999	0	0.0
post_2161965	post_2160045	"I agree with jlaszlo.    For me	 there was never any question about whether or not to get the vaccines for my children.    The risk of dealing with ""what they could get without the vaccines"" verses the risks of ""the side effects getting the vaccines"" was a chance I was willing to take.    I live in a very diverse and transient area with many people from other countries coming and going out of the US every day.    The immunization rules and regulations are not nearly as strict in other countries as in the US.    Many other countries are still dealing with many diseases that the US eradicated 20 or 30 years ago due to our immunization program.    With my children attending school in such a diverse area	 you better believe that keeping them up-to-date on their immunizations is one of the first things at each of their well-child check-ups."	0	post_2161040	0.0	"I'm no expert	 but I had this delima when I needed to get my kids vaccinated.    What I decided in the end was that the potential side effects of the vaccines were less sever then the potential risks of not getting vaccinated.    Another point	 with the autism link	 is that autism doesn't show up in children until they reach 18-24months	 which is the age they are when they get the vaccine in question.    Therefore	 it is believed that the link is just a conicidence and there is no real proof that it is caused from the vaccine. They have also found that just as many kids get autism that have not been vaccinated as those that have.    I hope this helps."	0.701758086681366	2	0.701758086681366	1	0	0	1	0.0
post_2908208	post_2907547	"I have heard of side effects from Gardisil. There was a show on t.v. about it one night. It was a while ago that I saw it so I don't remember it very well	 but it was about the dangers of Gardisil and about all the girls who have serious side effects. The show was saying the side effects were pretty bad in a lot of girls. I remember them saying a lot of them were having episodes of passing out and all sorts of other things that don't happen with other immunizations. There are other people in the medical community that argued the benefits of the drug and that most girls were doing fine. I'm sorry I can't be more exact with the details. You need to look this up	 or have someone look this up for you if you aren't feeling well. I am going to researchi this also and see what I can come up with and I'll get back to you. This is really upsetting to here you are having these symptoms. I'm not sure these shots are safe and I worry that unsuspecting young woman may be doing themselves more bad than good getting them. I am not sure how it all weighs out. For something bad to happen to even one girl from this should be a good enough reason for them to stop using it until they can figure out how to make something that won't hurt you or atleast make sure you are completely aware of the fact that it can hurt you before they give it to you.. Right now	 I don't think girls are really getting enough information about this before they get it. I think it's being presented to them as no big deal	 and with any sort of drug that they themselves don't even understand	 is going to be a big deal and a big decision. We don't want our young woman being experimented on while they are figuring it out."	0					1	0.661066472530365	0	0	999	0	0.0
post_2908243	post_2907547	"This is a little clipping from the info I found:Since its approval	 there have been at least 3	461 complaints of adverse reactions to the Gardasil vaccine	 and there could have been as many as eight deaths attributable to Gardasil. According to Judicial Watch	 in several instances	 blood clots were reported to have occurred after the administration of Gardasil.Other side effects including paralysis	 Bells Palsy	 Guillain-Barre Syndrome	 and seizures were also reported.    Our Gardasil side effect attorneys believe that even these Gardasil adverse event reports could be underestimating the true number of serious Gardisil side effect incidents that have actually occurred.    For that reason	 we are seeking to speak with anyone who experienced serious Gardasil side effects.Gardasil has also been linked to an increased instance of fainting following administration of the vaccine. From 2002-2004 there were a total of about 50 reports of vaccine-related fainting.    But from    2005 until last July	 reports of vaccine-related fainting spiked to about 230. About 180 of those cases followed a shot of Gardasil	 according to the    CDC).The Gardasil side effect    reports also include 28 women who miscarried after receiving Gardasil.    In May 2007	 a 24-year-old woman suffered a miscarriage	 which an investigator in a report issued to the federal government said	 _  may have been caused by Gardasil because the patient received the injection within 30 days of the pregnancy._   In July 2007	 a 17-year-old girl from Texas was unaware she was pregnant when she got her second dose of Gardasil. She miscarried	 but the cause of the miscarriage hasn_  t been determined	 according to a report.The reasons for two other miscarriages    in Florida in 2007 - one by a 16-year-old and another by a 24-year-old both - are undetermined	 according to reports. But it is known that both women had Gardasil vaccinations shortly before the miscarriages.    If you or someone you know suffered a miscarriage following the administration of Gardasil	 it is important that you contact one of our Gardasil side effect lawyers in order to protect your rights.Most disturbing among the Gardasil side effect reports are those that involve the deaths of young women.    Three young women in the US died shortly after receiving Gardasil	 while two other women in Europe also died after the vaccine was administered.    Despite all of these reports	 Merck continues to market Gardasil as virtually side-effect free. Our Gardasil side effect lawyers believe that Merck has misled the public about Gardasil's potential dangers	 and our law firm intends to hold Merck accountable for these dangerous Gardasil side effects.Legal Help for Gardasil Side Effect VictimsIf you or someone you know suffered a serious Gardasil side effect	 you have valuable legal rights. Please fill out our online form or call as at 1-800 LAW INFO (1-800-529-4636) to speak with a qualified Gardasil side effect"	0	post_2908208	0.0	"I have heard of side effects from Gardisil. There was a show on t.v. about it one night. It was a while ago that I saw it so I don't remember it very well	 but it was about the dangers of Gardisil and about all the girls who have serious side effects. The show was saying the side effects were pretty bad in a lot of girls. I remember them saying a lot of them were having episodes of passing out and all sorts of other things that don't happen with other immunizations. There are other people in the medical community that argued the benefits of the drug and that most girls were doing fine. I'm sorry I can't be more exact with the details. You need to look this up	 or have someone look this up for you if you aren't feeling well. I am going to researchi this also and see what I can come up with and I'll get back to you. This is really upsetting to here you are having these symptoms. I'm not sure these shots are safe and I worry that unsuspecting young woman may be doing themselves more bad than good getting them. I am not sure how it all weighs out. For something bad to happen to even one girl from this should be a good enough reason for them to stop using it until they can figure out how to make something that won't hurt you or atleast make sure you are completely aware of the fact that it can hurt you before they give it to you.. Right now	 I don't think girls are really getting enough information about this before they get it. I think it's being presented to them as no big deal	 and with any sort of drug that they themselves don't even understand	 is going to be a big deal and a big decision. We don't want our young woman being experimented on while they are figuring it out."	0.5323171019554138	2	0.6200896501541138	1	0	0	1	0.0
post_2910627	post_2907547	"Yes. Thank-you so much for your help. My mom has done a lot of research for this. We have been asking the doctors and they haven't really thought anything of it. But	 recently they have started to take this theory into consideration. Thank-you for your research! Hope to find an answer soon!"	0	post_2908243	0.0	"This is a little clipping from the info I found:Since its approval	 there have been at least 3	461 complaints of adverse reactions to the Gardasil vaccine	 and there could have been as many as eight deaths attributable to Gardasil. According to Judicial Watch	 in several instances	 blood clots were reported to have occurred after the administration of Gardasil.Other side effects including paralysis	 Bells Palsy	 Guillain-Barre Syndrome	 and seizures were also reported.    Our Gardasil side effect attorneys believe that even these Gardasil adverse event reports could be underestimating the true number of serious Gardisil side effect incidents that have actually occurred.    For that reason	 we are seeking to speak with anyone who experienced serious Gardasil side effects.Gardasil has also been linked to an increased instance of fainting following administration of the vaccine. From 2002-2004 there were a total of about 50 reports of vaccine-related fainting.    But from    2005 until last July	 reports of vaccine-related fainting spiked to about 230. About 180 of those cases followed a shot of Gardasil	 according to the    CDC).The Gardasil side effect    reports also include 28 women who miscarried after receiving Gardasil.    In May 2007	 a 24-year-old woman suffered a miscarriage	 which an investigator in a report issued to the federal government said	 _  may have been caused by Gardasil because the patient received the injection within 30 days of the pregnancy._   In July 2007	 a 17-year-old girl from Texas was unaware she was pregnant when she got her second dose of Gardasil. She miscarried	 but the cause of the miscarriage hasn_  t been determined	 according to a report.The reasons for two other miscarriages    in Florida in 2007 - one by a 16-year-old and another by a 24-year-old both - are undetermined	 according to reports. But it is known that both women had Gardasil vaccinations shortly before the miscarriages.    If you or someone you know suffered a miscarriage following the administration of Gardasil	 it is important that you contact one of our Gardasil side effect lawyers in order to protect your rights.Most disturbing among the Gardasil side effect reports are those that involve the deaths of young women.    Three young women in the US died shortly after receiving Gardasil	 while two other women in Europe also died after the vaccine was administered.    Despite all of these reports	 Merck continues to market Gardasil as virtually side-effect free. Our Gardasil side effect lawyers believe that Merck has misled the public about Gardasil's potential dangers	 and our law firm intends to hold Merck accountable for these dangerous Gardasil side effects.Legal Help for Gardasil Side Effect VictimsIf you or someone you know suffered a serious Gardasil side effect	 you have valuable legal rights. Please fill out our online form or call as at 1-800 LAW INFO (1-800-529-4636) to speak with a qualified Gardasil side effect"	0.20015597343444824	3	0.2918814420700073	2	0	0	2	0.0
post_2910653	post_2907547	"By the way... have you gotten the shot? If so	 have you experienced any side effects or anything??"	0	post_2910627	0.0	"Yes. Thank-you so much for your help. My mom has done a lot of research for this. We have been asking the doctors and they haven't really thought anything of it. But	 recently they have started to take this theory into consideration. Thank-you for your research! Hope to find an answer soon!"	0.1132093146443367	4	0.3833593726158142	3	0	0	3	0.0
post_2910788	post_2907547	"No	 I'm too old to have gotten it. I wouldn't be too trusting in what your doctors have to say. There are a lot of reasons why they wouldn't want you to be having a reaction to this drug. They could call it something else instead. Possibly they will be on your side with this	 but you can never be sure. Please call a lawyer right away. It would be one phone call	 it could turn out to be the most important thing you ever did	 and it could even turn out that you will end up saving lives because of that call. This is a very serious tragedy happening to our youth brought on by a drug company looking for patients to sell a cure. The truth is you might have never been at risk of getting HPV. If you are not with more than one partner you run a very slim chance of ever getting it. With each additional partner your chance of getting it goes up. If you ue condoms	 you're good. This is what we should be doing for our daughters. Telling them the facts. Get regular pap's. Use condoms. There are many things we can do	 but we don't need an immunization forced on us just simply assuming we are all going to need it. There is something seriously wrong with that idiology. We as woman	 we must fight this with all we have. It is a total insult that they have made it a law that all young woman have these shots. HPV is not something that spreads to everyone like the other childhood illnesses we use immunizations to treat. This is something that is we can control on our own. It's obvious this was brought into being by people who don't understand that we can control ourselves. I could see if this drug wasn't causing problems	 but medical science just hasn't come far enough to understand what the long term effects of any drug really are. Don't be fooled by fancy talk. Your doctors are mostly doing a hole lot of guessing."	0	post_2910653	0.0	"By the way... have you gotten the shot? If so	 have you experienced any side effects or anything??"	0.2760513722896576	5	0.6527708768844604	4	0	0	4	0.0
post_2911259	post_2907547	Just my two cents.. Many of these arguments echo concerns we had when the polio and small pox vaccines were mandatory. There were    many that had these same side effects... Where would the health of our genreration be if not for these immunizations ? Just food for thought...	0	post_2910788	0.0	"No	 I'm too old to have gotten it. I wouldn't be too trusting in what your doctors have to say. There are a lot of reasons why they wouldn't want you to be having a reaction to this drug. They could call it something else instead. Possibly they will be on your side with this	 but you can never be sure. Please call a lawyer right away. It would be one phone call	 it could turn out to be the most important thing you ever did	 and it could even turn out that you will end up saving lives because of that call. This is a very serious tragedy happening to our youth brought on by a drug company looking for patients to sell a cure. The truth is you might have never been at risk of getting HPV. If you are not with more than one partner you run a very slim chance of ever getting it. With each additional partner your chance of getting it goes up. If you ue condoms	 you're good. This is what we should be doing for our daughters. Telling them the facts. Get regular pap's. Use condoms. There are many things we can do	 but we don't need an immunization forced on us just simply assuming we are all going to need it. There is something seriously wrong with that idiology. We as woman	 we must fight this with all we have. It is a total insult that they have made it a law that all young woman have these shots. HPV is not something that spreads to everyone like the other childhood illnesses we use immunizations to treat. This is something that is we can control on our own. It's obvious this was brought into being by people who don't understand that we can control ourselves. I could see if this drug wasn't causing problems	 but medical science just hasn't come far enough to understand what the long term effects of any drug really are. Don't be fooled by fancy talk. Your doctors are mostly doing a hole lot of guessing."	0.46725112199783325	6	0.4560999274253845	5	0	0	5	0.0
post_2911419	post_2907547	yes... i agree with both of you. we will continue to look into this. thank-you very much for your help	0	post_2911259	0.0	Just my two cents.. Many of these arguments echo concerns we had when the polio and small pox vaccines were mandatory. There were    many that had these same side effects... Where would the health of our genreration be if not for these immunizations ? Just food for thought...	0.06374388188123703	7	0.15039578080177307	6	0	0	6	0.0
post_3665101	post_3665075	"Hi Steve	Titanium allergies are rare	 may be because people rarely come in contact with this metal on a regular basis; except for people who have them as implants. However it is unwise to jump to a conclusion that Titanium is the allergen without proper investigation. The first step would be to attempt to determine if any drugs that one is taking are causing this. Hypersensitivity reactions to titanium have been reported to be a cause of implant failure in hip replacement surgery and for spine (vertebral) stabilization.    Skin patch testing for metal hypersensitivity was strongly positive for titanium and nickel	 supporting the role of the titanium bioprosthesis in the development of DRESS syndrome.    In some instances of titanium reactions	 it has been necessary to remove the prosthesis.    This is a serious decision and any consideration of it should include consultation with an allergist/immunologist.    People who have had an allergic reaction to a metallic device or jewelry are more likely to have a reaction to an implanted device than those with no history.Also Titanium causing and a seizure is even more rare. So I recommend a visit to a allergist/immunologist and have it evaluated.If you have any further queries do get in touch with me.Regards	Dr Sylvester	 MD"	0					1	0.6475076079368591	0	0	999	0	0.0
post_7359306	post_3665075	"Titanium used in medical and dental purpose is of different types.Grade 5 commercially pure titanium is the mostly used one in cheap dental implants and may be in orthopedics also	 surely for cheaper ones.This contains 6% aluminium and 4% vanadium of which aluminium is notorious for its toxicity. it can start from allergy to severe neurological disorders.Grade 5 is used because with the content of Aluminium and Vanadium it is easy to make Titanium hard and strong. other wise it needs complicated and may be expensive process where Ti remains pure (Commercially pure Grade 4). all the major players in medical and dental field uses Grade 4 pure Ti. but cheper variants uses Grade 5 which is with Aluminium. 90% of doctors do not know this and it is easy to misguide them with low price tag of the products."	1	post_3665101	0.0	"Hi Steve	Titanium allergies are rare	 may be because people rarely come in contact with this metal on a regular basis; except for people who have them as implants. However it is unwise to jump to a conclusion that Titanium is the allergen without proper investigation. The first step would be to attempt to determine if any drugs that one is taking are causing this. Hypersensitivity reactions to titanium have been reported to be a cause of implant failure in hip replacement surgery and for spine (vertebral) stabilization.    Skin patch testing for metal hypersensitivity was strongly positive for titanium and nickel	 supporting the role of the titanium bioprosthesis in the development of DRESS syndrome.    In some instances of titanium reactions	 it has been necessary to remove the prosthesis.    This is a serious decision and any consideration of it should include consultation with an allergist/immunologist.    People who have had an allergic reaction to a metallic device or jewelry are more likely to have a reaction to an implanted device than those with no history.Also Titanium causing and a seizure is even more rare. So I recommend a visit to a allergist/immunologist and have it evaluated.If you have any further queries do get in touch with me.Regards	Dr Sylvester	 MD"	0.5419366955757141	2	0.4901452958583832	0	1	0	0	50.0
post_8710921	post_3665075	"Dr.Sylvester	 My sister had Back sugery in 2008	 Where she had a titanium cage and screws placed in her back. After sugery she was in more pain then she had been before. and shortly after she started having other systems	 like bad headaches	 hives that come and go with bad itching. also she has pain through out her body and at times feels like she is going to pass out	 She has been back to the doctor that preformed the sugery and told all this to him. And even asked him if she could be allergic to the metal he put in her back. He dismissed this idea. Being fifty years of age    and knowing her body	 she knows there is something wrong. So right away she has gone on a quest to try to figure out what is happening to her body. She has been to neurologists	 neurosurgeons	 orthopaedic specialists	 and allergists. To no avail... It seems no one wants to get involved when they find out that her back injury is an L & I case where the case has been closed. She has had to pay out of her pocket for them all and is more then willing but does wish she could find some help. When she went to the allergist and wanted a test to see if she is allergic to the metal they put in her back he told her he didn't have any titanium	 but he'd be willing to perform the test but she would have to get the titanium from the company that produced the device. So she tried to get it from the company and they told her that they only gave samples to Doctors. She went back to the allergist with this news	 he was unwilling to go through the extra steps to get the sample because he said it is virtually unheard of for someone to be allergic to titanium.... So we are asking if you could point us in some direction to find some kind of help? She often feels like what ever is going on    with her body will kill her if she doesn't get some kind of help figuring out what is going on!!!! HELPLESS in Seattle. Thank you. Diana Davis"	0	post_7359306	1.0	"Titanium used in medical and dental purpose is of different types.Grade 5 commercially pure titanium is the mostly used one in cheap dental implants and may be in orthopedics also	 surely for cheaper ones.This contains 6% aluminium and 4% vanadium of which aluminium is notorious for its toxicity. it can start from allergy to severe neurological disorders.Grade 5 is used because with the content of Aluminium and Vanadium it is easy to make Titanium hard and strong. other wise it needs complicated and may be expensive process where Ti remains pure (Commercially pure Grade 4). all the major players in medical and dental field uses Grade 4 pure Ti. but cheper variants uses Grade 5 which is with Aluminium. 90% of doctors do not know this and it is easy to misguide them with low price tag of the products."	0.38240814208984375	3	0.5424618124961853	1	1	1	1	33.33333333333333
